Name_x,Status,Link,Speakers,Glottocode,Country,Top-level family,ISO-639-3,Macroarea,Child dialects,Latitude,Longtitude
Abidji,Endangered/unsafe,https://en.wal.unesco.org/languages/abidji,99999.0,abid1235,,Atlantic-Congo,abi,Africa,2.0,5.66,-4.58
Abinomn,Definitely endangered,https://en.wal.unesco.org/languages/abinomn,999.0,abin1243,,,bsa,Papunesia,0.0,-2.92,138.89
Abipon,Not in use,https://en.wal.unesco.org/languages/abipon,0.0,abip1241,,Guaicuruan,axb,South America,0.0,-29.0,-61.0
Aewa,Not in use,https://en.wal.unesco.org/languages/aewa,0.0,abis1238,,,ash,South America,0.0,-1.28,-75.08
Abkhaz,Potentially vulnerable,https://en.wal.unesco.org/languages/abkhaz,999999.0,abkh1244,Georgia,Abkhaz-Adyge,abk,Eurasia,3.0,43.06,41.16
Abom,Critically endangered,https://en.wal.unesco.org/languages/abom,99.0,abom1238,,Anim,aob,Papunesia,0.0,-8.42,142.84
Abon,Definitely endangered,https://en.wal.unesco.org/languages/abon,999.0,abon1238,,Atlantic-Congo,abo,Africa,0.0,6.91,10.88
Abron,Potentially vulnerable,https://en.wal.unesco.org/languages/abron,9999999.0,abro1238,,Atlantic-Congo,abr,Africa,0.0,7.72,-2.5
Abua,Endangered/unsafe,https://en.wal.unesco.org/languages/abua,99999.0,abua1244,,Atlantic-Congo,abn,Africa,4.0,4.83,6.61
Abu' Arapesh,Definitely endangered,https://en.wal.unesco.org/languages/abu-arapesh,9999.0,abua1245,,Nuclear Torricelli,aah,Papunesia,0.0,-3.46,142.92
Abui,Definitely endangered,https://en.wal.unesco.org/languages/abui,99999.0,abui1241,,Timor-Alor-Pantar,abz,Papunesia,4.0,-8.31,124.59
Abun,Definitely endangered,https://en.wal.unesco.org/languages/abun,9999.0,abun1252,,,kgr,Papunesia,3.0,-0.57,132.42
Abure,Endangered/unsafe,https://en.wal.unesco.org/languages/abure,99999.0,abur1243,,Atlantic-Congo,abu,Africa,0.0,5.22,-3.64
Abureni,Endangered/unsafe,https://en.wal.unesco.org/languages/abureni,9999.0,abur1244,,Atlantic-Congo,mgj,Africa,0.0,4.62,6.51
Abu,Definitely endangered,https://en.wal.unesco.org/languages/abu,9999.0,abuu1241,,Ramu,ado,Papunesia,3.0,-4.24,144.47
Acatepec Me'phaa,Endangered/unsafe,https://en.wal.unesco.org/languages/acatepec-mephaa,99999.0,acat1239,,Otomanguean,tpx,North America,3.0,17.1,-99.06
Longchuan Achang,Definitely endangered,https://en.wal.unesco.org/languages/longchuan-achang,99999.0,acha1249,,Sino-Tibetan,acn,Eurasia,3.0,24.35,97.74
Ngochang,Endangered/unsafe,https://en.wal.unesco.org/languages/ngochang,99999.0,acha1249,Myanmar,Sino-Tibetan,acn,Eurasia,3.0,24.35,97.74
Achagua,Definitely endangered,https://en.wal.unesco.org/languages/achagua,999.0,acha1250,Colombia,Arawakan,aca,South America,0.0,4.39,-72.2
Ache,Definitely endangered,https://en.wal.unesco.org/languages/ache,99999.0,ache1244,Paraguay,Sino-Tibetan,yif,Eurasia,0.0,24.15,102.45
Acheron,Endangered/unsafe,https://en.wal.unesco.org/languages/acheron,99999.0,ache1245,Sudan,Narrow Talodi,acz,Africa,2.0,10.88,30.32
Aché,Severely endangered,https://en.wal.unesco.org/languages/ache-0,999.0,ache1246,,Tupian,guq,South America,0.0,-25.59,-56.47
Achi,Endangered/unsafe,https://en.wal.unesco.org/languages/achi,99999.0,achi1256,,Mayan,acr,North America,0.0,15.07,-90.35
Acehnese,Definitely endangered,https://en.wal.unesco.org/languages/acehnese,9999999.0,achi1257,Indonesia,Austronesian,ace,Papunesia,7.0,3.91,96.6
Achumawi,Critically endangered,https://en.wal.unesco.org/languages/achumawi,9999.0,achu1247,,Palaihnihan,acv,North America,0.0,41.1,-121.19
Achuar-Shiwiar,Definitely endangered,https://en.wal.unesco.org/languages/achuar-shiwiar,9999.0,achu1248,Ecuador,Chicham,acu,South America,2.0,-2.83,-77.26
Acoli,Potentially vulnerable,https://en.wal.unesco.org/languages/acoli,9999999.0,acol1236,South Sudan,Nilotic,ach,Africa,3.0,3.58,32.51
Acroá,Not in use,https://en.wal.unesco.org/languages/acroa,0.0,acro1239,,Nuclear-Macro-Je,acs,South America,0.0,-12.59,-40.21
Adabe,Endangered/unsafe,https://en.wal.unesco.org/languages/adabe,999.0,adab1235,,Bookkeeping,adb,Papunesia,0.0,-8.23,125.58
Adai,Not in use,https://en.wal.unesco.org/languages/adai,0.0,adai1235,,,xad,North America,0.0,31.63,-92.01
Adamorobe Sign Language,Definitely endangered,https://en.wal.unesco.org/languages/adamorobe-sign-language,9999.0,adam1238,,Sign Language,ads,Africa,0.0,5.83,-0.15
Adamawa Fulfulde,Potentially vulnerable,https://en.wal.unesco.org/languages/adamawa-fulfulde,999999.0,adam1253,Sudan,Atlantic-Congo,fub,Africa,6.0,8.14,13.08
Adangme,Potentially vulnerable,https://en.wal.unesco.org/languages/adangme,999999.0,adan1247,,Atlantic-Congo,ada,Africa,6.0,5.94,0.13
Adangbe,Definitely endangered,https://en.wal.unesco.org/languages/adangbe,9999.0,adan1248,,Atlantic-Congo,adq,Africa,0.0,6.51,0.73
Adang,Definitely endangered,https://en.wal.unesco.org/languages/adang,99999.0,adan1251,Indonesia,Timor-Alor-Pantar,adn,Papunesia,1.0,-8.19,124.45
Adasen,Definitely endangered,https://en.wal.unesco.org/languages/adasen,9999.0,adas1235,,Austronesian,tiu,Papunesia,2.0,17.82,120.91
Adele,Endangered/unsafe,https://en.wal.unesco.org/languages/adele,99999.0,adel1244,,Atlantic-Congo,ade,Africa,2.0,8.17,0.62
Adhola,Potentially vulnerable,https://en.wal.unesco.org/languages/adhola,999999.0,adho1243,,Nilotic,adh,Africa,0.0,0.73,34.03
Adioukrou,Endangered/unsafe,https://en.wal.unesco.org/languages/adioukrou,99999.0,adio1239,,Atlantic-Congo,adj,Africa,0.0,5.38,-4.53
Kotia-Adivasi Oriya-Desiya,Potentially vulnerable,https://en.wal.unesco.org/languages/kotia-adivasi-oriya-desiya,999999.0,adiv1239,India,Indo-European,ort,Eurasia,0.0,18.1,82.85
Adiwasi Garasia,Endangered/unsafe,https://en.wal.unesco.org/languages/adiwasi-garasia,99999.0,adiw1235,,Indo-European,gas,Eurasia,0.0,24.07,73.14
Adnyamathanha,Definitely endangered,https://en.wal.unesco.org/languages/adnyamathanha,99.0,adny1235,,Pama-Nyungan,adt,Australia,0.0,-30.15,138.67
Adonara,Endangered/unsafe,https://en.wal.unesco.org/languages/adonara,99999.0,adon1237,,Austronesian,adr,Papunesia,10.0,-8.32,123.16
Aduge,Definitely endangered,https://en.wal.unesco.org/languages/aduge,9999.0,adug1238,,Bookkeeping,adu,Africa,0.0,7.65,6.13
Adyghe,Endangered/unsafe,https://en.wal.unesco.org/languages/adyghe,99999.0,adyg1241,Russian Federation,Abkhaz-Adyge,ady,Eurasia,6.0,44.0,39.33
Adzera,Endangered/unsafe,https://en.wal.unesco.org/languages/adzera,99999.0,adze1240,,Austronesian,adz,Papunesia,0.0,-6.39,146.29
Aeka,Endangered/unsafe,https://en.wal.unesco.org/languages/aeka,999.0,aeka1244,,Nuclear Trans New Guinea,aez,Papunesia,0.0,-8.86,147.99
Aekyom,Endangered/unsafe,https://en.wal.unesco.org/languages/aekyom,9999.0,aeky1238,,Kamula-Elevala,awi,Papunesia,3.0,-5.88,141.53
Aer,Definitely endangered,https://en.wal.unesco.org/languages/aer,999.0,aerr1238,Pakistan,Indo-European,aeq,Eurasia,2.0,25.25,69.03
Afade,Definitely endangered,https://en.wal.unesco.org/languages/afade,99999.0,afad1236,Cameroon,Afro-Asiatic,aal,Africa,0.0,12.06,14.63
Afar,Potentially vulnerable,https://en.wal.unesco.org/languages/afar,9999999.0,afar1241,,Afro-Asiatic,aar,Africa,4.0,12.23,41.81
Afghan Sign Language,Endangered/unsafe,https://en.wal.unesco.org/languages/afghan-sign-language,999.0,afgh1239,,Sign Language,afg,Eurasia,0.0,34.43,70.45
Afghanistan Gorbat,Unknown,https://en.wal.unesco.org/languages/afghanistan-gorbat,,afgh1240,,Mixed Language,,Eurasia,0.0,,
Afitti,Definitely endangered,https://en.wal.unesco.org/languages/afitti,999.0,afit1238,Sudan,Nyimang,aft,Africa,0.0,12.45,30.76
Afrikaans,Potentially vulnerable,https://en.wal.unesco.org/languages/afrikaans,999999999.0,afri1274,,Indo-European,afr,Africa,3.0,-22.0,30.0
Afro-Seminole Creole,Critically endangered,https://en.wal.unesco.org/languages/afro-seminole-creole,999.0,afro1254,,Indo-European,afs,North America,0.0,31.78,-99.29
Afudu,Not in use,https://en.wal.unesco.org/languages/afudu,0.0,afud1235,,Atlantic-Congo,,Africa,0.0,9.83,11.3
Agariya,Endangered/unsafe,https://en.wal.unesco.org/languages/agariya,99999.0,agar1251,,Unattested,agi,Eurasia,0.0,24.5,82.3
Agarabi,Endangered/unsafe,https://en.wal.unesco.org/languages/agarabi,99999.0,agar1252,,Nuclear Trans New Guinea,agd,Papunesia,0.0,-6.21,145.92
Agatu,Endangered/unsafe,https://en.wal.unesco.org/languages/agatu,99999.0,agat1236,,Atlantic-Congo,agc,Africa,0.0,7.98,7.72
Agavotaguerra,Not in use,https://en.wal.unesco.org/languages/agavotaguerra,0.0,agav1236,,Unattested,avo,South America,0.0,-13.3,-53.44
Aghem,Endangered/unsafe,https://en.wal.unesco.org/languages/aghem,99999.0,aghe1239,Cameroon,Atlantic-Congo,agq,Africa,0.0,6.39,10.08
Aghul,Definitely endangered,https://en.wal.unesco.org/languages/aghul,99999.0,aghu1253,Russian Federation,Nakh-Daghestanian,agx,Eurasia,6.0,41.92,47.58
Aghu Tharnggalu,Not in use,https://en.wal.unesco.org/languages/aghu-tharnggalu,0.0,aghu1254,,Pama-Nyungan,ggr,Australia,0.0,-13.73,142.43
Aghu,Definitely endangered,https://en.wal.unesco.org/languages/aghu,9999.0,aghu1255,,Nuclear Trans New Guinea,ahh,Papunesia,0.0,-6.35,140.04
Aghwan,Not in use,https://en.wal.unesco.org/languages/aghwan,0.0,aghw1237,,Nakh-Daghestanian,xag,Eurasia,0.0,40.37,47.13
Agi,Definitely endangered,https://en.wal.unesco.org/languages/agi,999.0,agii1245,,Nuclear Torricelli,aif,Papunesia,0.0,-3.49,142.39
Agob-Ende-Kawam,Endangered/unsafe,https://en.wal.unesco.org/languages/agob-ende-kawam,9999.0,agob1244,,Pahoturi,kit,Papunesia,3.0,-9.09,142.53
Agoi,Endangered/unsafe,https://en.wal.unesco.org/languages/agoi,99999.0,agoi1246,,Atlantic-Congo,ibm,Africa,2.0,5.88,8.22
Agta-Pahanan,Endangered/unsafe,https://en.wal.unesco.org/languages/agta-pahanan,9999.0,agta1234,,Austronesian,apf,Papunesia,0.0,17.05,122.28
Aguano,Not in use,https://en.wal.unesco.org/languages/aguano,0.0,agua1251,,Unattested,aga,South America,0.0,-5.25,-75.83
Aguacateco,Endangered/unsafe,https://en.wal.unesco.org/languages/aguacateco,9999.0,agua1252,,Mayan,agu,North America,0.0,15.33,-91.32
Aguaruna,Endangered/unsafe,https://en.wal.unesco.org/languages/aguaruna,99999.0,agua1253,Peru,Chicham,agr,South America,0.0,-5.3,-77.92
Aguna,Definitely endangered,https://en.wal.unesco.org/languages/aguna,99999.0,agun1238,Benin,Atlantic-Congo,aug,Africa,0.0,7.49,1.74
Agusan Manobo,Endangered/unsafe,https://en.wal.unesco.org/languages/agusan-manobo,99999.0,agus1235,Philippines,Austronesian,msm,Papunesia,3.0,8.63,125.74
Agutaynen,Endangered/unsafe,https://en.wal.unesco.org/languages/agutaynen,99999.0,agut1237,Philippines,Austronesian,agn,Papunesia,0.0,10.53,119.66
Agwagwune,Endangered/unsafe,https://en.wal.unesco.org/languages/agwagwune,99999.0,agwa1247,,Atlantic-Congo,yay,Africa,7.0,5.81,8.03
Ahanta,Potentially vulnerable,https://en.wal.unesco.org/languages/ahanta,999999.0,ahan1243,,Atlantic-Congo,aha,Africa,0.0,4.85,-1.95
Àhàn,Definitely endangered,https://en.wal.unesco.org/languages/ahan,999.0,ahan1244,,Atlantic-Congo,ahn,Africa,0.0,7.44,6.01
Thavung,Definitely endangered,https://en.wal.unesco.org/languages/thavung,999.0,aheu1239,,Austroasiatic,thm,Eurasia,0.0,17.77,104.23
Ahin-Kayapa Kalanguya,Endangered/unsafe,https://en.wal.unesco.org/languages/ahin-kayapa-kalanguya,99999.0,ahin1234,Philippines,Austronesian,kak,Papunesia,2.0,16.32,120.9
Ahom,Not in use,https://en.wal.unesco.org/languages/ahom,0.0,ahom1240,,Tai-Kadai,aho,Eurasia,0.0,27.28,88.46
Ahtena,Critically endangered,https://en.wal.unesco.org/languages/ahtena,99.0,ahte1237,,Athabaskan-Eyak-Tlingit,aht,North America,5.0,61.71,-144.89
Ndunic,Endangered/unsafe,https://en.wal.unesco.org/languages/ndunic,99999.0,ahwa1235,,Atlantic-Congo,nfd,Africa,0.0,9.18,8.56
Ai-Cham,Definitely endangered,https://en.wal.unesco.org/languages/ai-cham,9999.0,aich1238,,Tai-Kadai,aih,Eurasia,2.0,25.49,107.84
Aighon,Endangered/unsafe,https://en.wal.unesco.org/languages/aighon,9999.0,aigh1235,,Austronesian,aix,Papunesia,3.0,-5.99,150.27
Aikanã,Endangered/unsafe,https://en.wal.unesco.org/languages/aikana,999.0,aika1237,,,tba,South America,1.0,-12.67,-60.54
Aiklep,Endangered/unsafe,https://en.wal.unesco.org/languages/aiklep,9999.0,aikl1237,,Austronesian,mwg,Papunesia,0.0,-6.24,149.57
Aimaq,Potentially vulnerable,https://en.wal.unesco.org/languages/aimaq,999999.0,aima1241,,Indo-European,aiq,Eurasia,10.0,35.28,59.18
Aimele,Definitely endangered,https://en.wal.unesco.org/languages/aimele,999.0,aime1238,,Bosavi,ail,Papunesia,0.0,-6.69,142.66
Aimol,Definitely endangered,https://en.wal.unesco.org/languages/aimol,9999.0,aimo1244,India,Sino-Tibetan,aim,Eurasia,2.0,24.64,94.36
Ainbai,Definitely endangered,https://en.wal.unesco.org/languages/ainbai,99.0,ainb1238,,Border,aic,Papunesia,0.0,-3.09,141.15
Hokkaido Ainu,Critically endangered,https://en.wal.unesco.org/languages/hokkaido-ainu,9.0,ainu1240,Japan,Ainu,ain,Eurasia,2.0,43.63,142.46
Ainu (China),Definitely endangered,https://en.wal.unesco.org/languages/ainu-china,9999.0,ainu1251,,Turkic,aib,Eurasia,2.0,39.27,76.42
Aiome,Definitely endangered,https://en.wal.unesco.org/languages/aiome,999.0,aiom1240,,Ramu,aki,Papunesia,0.0,-5.13,144.76
Airoran,Definitely endangered,https://en.wal.unesco.org/languages/airoran,999.0,airo1242,,Greater Kwerba,air,Papunesia,0.0,-1.85,138.16
Aiton,Definitely endangered,https://en.wal.unesco.org/languages/aiton,9999.0,aito1238,,Tai-Kadai,aio,Eurasia,0.0,26.51,92.32
Aja (Benin),Potentially vulnerable,https://en.wal.unesco.org/languages/aja-benin,999999.0,ajab1235,Benin,Atlantic-Congo,ajg,Africa,4.0,7.07,1.65
Aja (Sudan),Definitely endangered,https://en.wal.unesco.org/languages/aja-sudan,999.0,ajas1235,South Sudan,Kresh-Aja,aja,Africa,0.0,8.58,25.61
Ajawa,Not in use,https://en.wal.unesco.org/languages/ajawa,0.0,ajaw1236,,Afro-Asiatic,ajw,Africa,0.0,10.21,9.89
Ajië,Endangered/unsafe,https://en.wal.unesco.org/languages/ajie,9999.0,ajie1238,,Austronesian,aji,Papunesia,0.0,-21.3,165.47
Ajyíninka Apurucayali,Endangered/unsafe,https://en.wal.unesco.org/languages/ajyininka-apurucayali,9999.0,ajyi1238,,Arawakan,cpc,South America,0.0,-9.82,-74.62
Aka,Definitely endangered,https://en.wal.unesco.org/languages/aka,999.0,akaa1242,,Eastern Jebel,soh,Africa,0.0,11.21,33.65
Akabo,Not in use,https://en.wal.unesco.org/languages/akabo,0.0,akab1248,,Great Andamanese,akm,Eurasia,0.0,12.36,92.8
Akabea,Not in use,https://en.wal.unesco.org/languages/akabea,0.0,akab1249,,Great Andamanese,abj,Eurasia,0.0,12.38,92.78
Akacari,Not in use,https://en.wal.unesco.org/languages/akacari,0.0,akac1240,,Great Andamanese,aci,Eurasia,0.0,13.49,92.95
Akajeru,Critically endangered,https://en.wal.unesco.org/languages/akajeru,9.0,akaj1239,,Great Andamanese,akj,Eurasia,1.0,13.15,92.95
Akakora,Not in use,https://en.wal.unesco.org/languages/akakora,0.0,akak1251,,Great Andamanese,ack,Eurasia,0.0,12.09,92.75
Akakede,Not in use,https://en.wal.unesco.org/languages/akakede,0.0,akak1252,,Great Andamanese,akx,Eurasia,0.0,12.85,92.82
Akakol,Not in use,https://en.wal.unesco.org/languages/akakol,0.0,akak1253,,Great Andamanese,aky,Eurasia,0.0,12.73,92.79
Akan,Potentially vulnerable,https://en.wal.unesco.org/languages/akan,9999999.0,akan1250,Ghana,Atlantic-Congo,aka,Africa,10.0,6.35,-1.33
Akarbale,Not in use,https://en.wal.unesco.org/languages/akarbale,0.0,akar1243,,Great Andamanese,acl,Eurasia,0.0,12.67,92.83
Akaselem,Endangered/unsafe,https://en.wal.unesco.org/languages/akaselem,99999.0,akas1242,,Atlantic-Congo,aks,Africa,0.0,8.89,1.37
Akawaio,Endangered/unsafe,https://en.wal.unesco.org/languages/akawaio,9999.0,akaw1239,Guyana,Cariban,ake,South America,2.0,6.16,-60.86
Akebu,Endangered/unsafe,https://en.wal.unesco.org/languages/akebu,99999.0,akeb1238,,Atlantic-Congo,keu,Africa,0.0,7.78,0.78
Ake,Endangered/unsafe,https://en.wal.unesco.org/languages/ake,9999.0,akee1238,,Atlantic-Congo,aik,Africa,0.0,8.6,8.76
Akei,Endangered/unsafe,https://en.wal.unesco.org/languages/akei,999.0,akei1237,,Austronesian,tsr,Papunesia,0.0,-15.64,166.77
Akeu,Definitely endangered,https://en.wal.unesco.org/languages/akeu,99999.0,akeu1235,Myanmar,Sino-Tibetan,aeu,Eurasia,0.0,22.2,101.08
Akha,Potentially vulnerable,https://en.wal.unesco.org/languages/akha,999999.0,akha1245,Myanmar,Sino-Tibetan,ahk,Eurasia,2.0,21.23,100.96
Akhvakh,Definitely endangered,https://en.wal.unesco.org/languages/akhvakh,999.0,akhv1239,,Nakh-Daghestanian,akv,Eurasia,2.0,42.4,46.3
Akkala Saami,Not in use,https://en.wal.unesco.org/languages/akkala-saami,0.0,akka1237,,Uralic,sia,Eurasia,0.0,67.86,32.4
Akkadian,Not in use,https://en.wal.unesco.org/languages/akkadian,0.0,akka1240,,Afro-Asiatic,akk,Eurasia,11.0,33.1,44.1
Ak,Severely endangered,https://en.wal.unesco.org/languages/ak,99.0,akkk1240,,Sepik,akq,Papunesia,0.0,-3.57,141.78
Akolet,Endangered/unsafe,https://en.wal.unesco.org/languages/akolet,999.0,akol1237,,Austronesian,akt,Papunesia,0.0,-6.23,150.18
Akoose,Endangered/unsafe,https://en.wal.unesco.org/languages/akoose,99999.0,akoo1248,Cameroon,Atlantic-Congo,bss,Africa,7.0,4.92,9.66
Akoye,Definitely endangered,https://en.wal.unesco.org/languages/akoye,999.0,akoy1238,,Angan,miw,Papunesia,0.0,-7.66,145.67
Akpa,Potentially vulnerable,https://en.wal.unesco.org/languages/akpa,999999.0,akpa1238,,Atlantic-Congo,akf,Africa,0.0,7.33,8.02
Akpes,Definitely endangered,https://en.wal.unesco.org/languages/akpes,9999.0,akpe1248,,Atlantic-Congo,ibe,Africa,9.0,7.5,5.96
Akpondu,Not in use,https://en.wal.unesco.org/languages/akpondu,0.0,akpo1243,,Atlantic-Congo,,Africa,0.0,9.24,8.55
Chini,Severely endangered,https://en.wal.unesco.org/languages/chini,999.0,akru1241,,Ramu,afi,Papunesia,0.0,-4.89,144.82
Akuku,Endangered/unsafe,https://en.wal.unesco.org/languages/akuku,,akuk1235,,Atlantic-Congo,ayk,Africa,0.0,7.4,6.34
Akum,Definitely endangered,https://en.wal.unesco.org/languages/akum,9999.0,akum1238,Cameroon,Atlantic-Congo,aku,Africa,0.0,6.86,9.96
Akuntsu,Critically endangered,https://en.wal.unesco.org/languages/akuntsu,9.0,akun1241,,Tupian,aqz,South America,0.0,-12.83,-60.97
Akurio,Not in use,https://en.wal.unesco.org/languages/akurio,0.0,akur1238,,Cariban,ako,South America,0.0,3.2,-55.63
Akwa,Definitely endangered,https://en.wal.unesco.org/languages/akwa,99999.0,akwa1248,,Atlantic-Congo,akw,Africa,0.0,-0.4,15.46
Alabama,Definitely endangered,https://en.wal.unesco.org/languages/alabama,999.0,alab1237,,Muskogean,akz,North America,0.0,30.77,-94.63
Alabat Island Agta,Critically endangered,https://en.wal.unesco.org/languages/alabat-island-agta,99.0,alab1246,Philippines,Austronesian,dul,Papunesia,0.0,14.12,122.01
Alaba-K'abeena,Potentially vulnerable,https://en.wal.unesco.org/languages/alaba-kabeena,999999.0,alab1254,,Afro-Asiatic,alw,Africa,0.0,7.39,38.17
Alacalufe-Austral,Not in use,https://en.wal.unesco.org/languages/alacalufe-austral,0.0,alac1239,,Kawesqar,,South America,0.0,-54.79,-70.14
Alacalufe-Central,Not in use,https://en.wal.unesco.org/languages/alacalufe-central,0.0,alac1240,,Kawesqar,,South America,0.0,-53.44,-71.04
Alacatlatzala Mixtec,Endangered/unsafe,https://en.wal.unesco.org/languages/alacatlatzala-mixtec,99999.0,alac1244,,Otomanguean,mim,North America,5.0,17.25,-98.58
Alago,Endangered/unsafe,https://en.wal.unesco.org/languages/alago,99999.0,alag1242,,Atlantic-Congo,ala,Africa,4.0,8.35,8.52
Alagwa,Definitely endangered,https://en.wal.unesco.org/languages/alagwa,99999.0,alag1248,,Afro-Asiatic,wbj,Africa,0.0,-4.64,35.72
Alak,Endangered/unsafe,https://en.wal.unesco.org/languages/alak,9999.0,alak1253,,Austroasiatic,alk,Eurasia,0.0,15.56,106.6
Alamblak,Definitely endangered,https://en.wal.unesco.org/languages/alamblak,9999.0,alam1246,,Sepik,amp,Papunesia,2.0,-4.66,143.32
Alangan,Definitely endangered,https://en.wal.unesco.org/languages/alangan,9999.0,alan1249,Philippines,Austronesian,alj,Papunesia,0.0,13.1,121.02
Alapmunte,Not in use,https://en.wal.unesco.org/languages/alapmunte,0.0,alap1235,,Unattested,apv,South America,0.0,-12.33,-60.0
Alawa,Critically endangered,https://en.wal.unesco.org/languages/alawa,9.0,alaw1244,,Mangarrayi-Maran,alh,Australia,0.0,-15.55,134.28
Inland-Buhi-Daraga Bikol,Potentially vulnerable,https://en.wal.unesco.org/languages/inland-buhi-daraga-bikol,999999.0,alba1269,,Austronesian,bhk,Papunesia,5.0,13.2,123.49
Albanian Sign Language,Endangered/unsafe,https://en.wal.unesco.org/languages/albanian-sign-language,9999.0,alba1271,,Sign Language,sqk,Eurasia,0.0,41.33,19.82
Alcozauca Mixtec,Endangered/unsafe,https://en.wal.unesco.org/languages/alcozauca-mixtec,9999.0,alco1235,,Otomanguean,xta,North America,2.0,17.37,-98.4
Alege,Endangered/unsafe,https://en.wal.unesco.org/languages/alege,99999.0,aleg1238,,Atlantic-Congo,alf,Africa,0.0,6.59,9.0
Alekano,Endangered/unsafe,https://en.wal.unesco.org/languages/alekano,99999.0,alek1238,,Nuclear Trans New Guinea,gah,Papunesia,0.0,-6.04,145.39
Aleut,Definitely endangered,https://en.wal.unesco.org/languages/aleut,999.0,aleu1260,,Eskimo-Aleut,ale,North America,2.0,52.12,-174.29
Algerian Sign Language,Potentially vulnerable,https://en.wal.unesco.org/languages/algerian-sign-language,999999.0,alge1235,Algeria,Sign Language,asp,Africa,0.0,36.48,3.55
Algerian Arabic,Potentially vulnerable,https://en.wal.unesco.org/languages/algerian-arabic,99999999.0,alge1239,Algeria,Afro-Asiatic,arq,Africa,3.0,35.42,3.23
Algerian Saharan Arabic,Potentially vulnerable,https://en.wal.unesco.org/languages/algerian-saharan-arabic,999999.0,alge1240,Algeria,Afro-Asiatic,aao,Africa,0.0,20.89,4.81
Algonquin,Endangered/unsafe,https://en.wal.unesco.org/languages/algonquin,9999.0,algo1255,,Algic,alq,North America,2.0,47.39,-77.53
Ali,Endangered/unsafe,https://en.wal.unesco.org/languages/ali,99999.0,alii1240,,Atlantic-Congo,aiy,Africa,0.0,4.6,18.04
Alipur Sign Language,Definitely endangered,https://en.wal.unesco.org/languages/alipur-sign-language,999.0,alip1234,,Sign Language,,Eurasia,0.0,16.84,77.11
Allar,Definitely endangered,https://en.wal.unesco.org/languages/allar,999.0,alla1247,,Dravidian,all,Eurasia,0.0,11.08,76.66
Alladian,Endangered/unsafe,https://en.wal.unesco.org/languages/alladian,99999.0,alla1248,Benin,Atlantic-Congo,ald,Africa,0.0,5.22,-4.43
Allentiac,Not in use,https://en.wal.unesco.org/languages/allentiac,0.0,alle1238,Argentina,Huarpean,,South America,0.0,-33.48,-68.1
Alngith,Not in use,https://en.wal.unesco.org/languages/alngith,0.0,alng1239,,Pama-Nyungan,aid,Australia,0.0,-12.53,141.94
Aloápam Zapotec,Endangered/unsafe,https://en.wal.unesco.org/languages/aloapam-zapotec,9999.0,aloa1235,,Otomanguean,zaq,North America,0.0,17.41,-96.74
Alo Phola,Endangered/unsafe,https://en.wal.unesco.org/languages/alo-phola,999.0,alop1235,,Sino-Tibetan,ypo,Eurasia,0.0,23.59,101.93
Alor,Endangered/unsafe,https://en.wal.unesco.org/languages/alor,99999.0,alor1247,,Austronesian,aol,Papunesia,0.0,-8.2,124.26
Alorese,Endangered/unsafe,https://en.wal.unesco.org/languages/alorese,99999.0,alor1247,,Austronesian,aol,Papunesia,0.0,-8.2,124.26
